"symbol","RO","RA","RA-RO","PRA-RO","FDR"
"C16orf71",4.29569534626805,5.29556491496755,0.999869568699503,0.000110626181477798,0.0108004855770603
"LINC-PINT",7.51745022068311,8.06048062528123,0.543030404598118,0.000118574154341505,0.0112924754632434
"ZBTB25",5.57818301431826,5.91514404612018,0.336961031801923,0.000123237537426557,0.0116076076302936
"ZBED6",7.30477158023696,8.01906732177057,0.714295741533607,0.000123702430024547,0.0116076076302936
"THRSP",3.15516294967933,4.45366405486903,1.2985011051897,0.000125139727537629,0.0116081994877763
"FLCN",8.2204021559401,8.90264340699296,0.68224125105286,0.00012672607273495,0.0117046822696746
"C9orf84",3.78944745536645,4.60044925654846,0.811001801182007,0.000130349354249272,0.0118352795036161
"STON1",2.54795784724275,3.81509528847306,1.26713744123031,0.00012988918799375,0.0118352795036161
"BTBD7",5.99144685121964,6.33758527969768,0.346138428478047,0.000131343928808985,0.0118752645844681
"TMEM265",5.30950011254707,5.93811428057471,0.628614168027642,0.000135446023193846,0.0120428937136836
"LOC105370792",3.42893556875907,4.17616314170956,0.747227572950492,0.000134530501306733,0.0120428937136836
"HIF3A",6.87503742707705,8.00326788519657,1.12823045811952,0.00013542887998426,0.0120428937136836
"ATAD3C",3.54949069604921,4.70192518342061,1.1524344873714,0.000134476294403351,0.0120428937136836
"PAN2",6.68331640674526,7.42899409695212,0.745677690206862,0.000139083974713831,0.0122143090580654
"ZCCHC8",5.56002364272161,6.01978343497146,0.459759792249851,0.000143209457786212,0.0124743587863534
"LOC102725079",1.59918590203685,2.7907638211008,1.19157791906395,0.000148560076008398,0.0127899635567643
"STK38",6.22911242806421,6.70821856287536,0.479106134811158,0.000153119566283382,0.013039228023272
"RCC1",4.80501324823528,5.64636853706003,0.841355288824744,0.000153953924299412,0.013039228023272
"SLC23A3",2.000316069147,3.31268474250746,1.31236867336046,0.000155094663120572,0.013084127721841
"RAMP2-AS1",3.53876071129543,4.32522817804076,0.786467466745326,0.000156968019857651,0.0131902381549402
"SMG9",6.48008394565746,6.86699890512857,0.386914959471104,0.000158417196935355,0.0132600144372296
"RBM38",6.36347771853666,6.93511423461002,0.571636516073362,0.000164040826013864,0.0136524918395222
"TNFRSF6B",2.01410033727115,3.125555463398,1.11145512612685,0.000164430309369761,0.0136524918395222
"LOC100507616",0.772140345395655,2.10840008825592,1.33625974286027,0.000166827863519205,0.0136524918395222
"HIST2H2BC",3.2164350095853,4.65771968737795,1.44128467779265,0.000165358373626783,0.0136524918395222
"ZC3H11A",7.71120452156658,8.09955224298534,0.388347721418763,0.000168983780822911,0.013664092284805
"GDF11",6.83754068020266,7.52129517943887,0.683754499236214,0.000172603233014713,0.013852217517001
"SLC25A30-AS1",2.24328231086102,3.45450754885984,1.21122523799882,0.000176164715335161,0.0140329275843935
"DNA2",4.71821237542248,5.38049019349432,0.662277818071845,0.000181444305479313,0.0143519172738686
"C1orf111",4.27014310763023,5.21091644701991,0.940773339389682,0.00018654026493979,0.0146417025535891
"RNF169",6.49545710561301,6.9216494406955,0.426192335082495,0.000194750609554628,0.0152303505895495
"LINC01338",3.88635875571706,5.36113183171755,1.47477307600049,0.000196110531421869,0.015280932608392
"HIGD1C",3.33141002819453,4.69940832500625,1.36799829681172,0.000198068351577094,0.015333921123909
"TRRAP",7.71427020065149,8.00051879065679,0.286248590005306,0.000200509948206506,0.0153547401725803
"MCMDC2",3.20963902093423,3.87198224645754,0.662343225523307,0.000201357195654988,0.0153547401725803
"SLC5A3",6.37367829444351,7.52869614752364,1.15501785308014,0.000201174462714223,0.0153547401725803
"SH3YL1",6.0180216183408,6.35362514408176,0.335603525740956,0.000205311051719523,0.0154622814294593
"TRPM7",6.10902107457622,6.58160669460324,0.472585620027017,0.000205653827113864,0.0154622814294593
"SSBP3-AS1",4.82359371827979,5.60612730390737,0.782533585627577,0.000204566742403777,0.0154622814294593
"DNAJB6",6.65424514267192,7.33871123974732,0.684466097075404,0.00020784125105976,0.0155363357026331
"SLC38A2",7.86873811607271,8.9343384746342,1.06560035856149,0.000208088871880516,0.0155363357026331
"LINC00997",4.78958098386343,5.3142722654909,0.52469128162747,0.000215691988485738,0.0157098329218783
"CTDSP2",8.61725374671096,9.16713783233538,0.549884085624425,0.000211177649904191,0.0157098329218783
"CASC3",8.83422088403116,9.47038457724233,0.636163693211167,0.000213764666905624,0.0157098329218783
"WSCD1",6.85710785135614,7.64025218998037,0.783144338624227,0.000217183010447111,0.0157098329218783
"C6orf118",3.18901784574368,4.26736372204632,1.07834587630264,0.000217456233323767,0.0157098329218783
"LOC284933",4.66280552878569,6.16186435669388,1.49905882790818,0.000217744090806321,0.0157098329218783
"LINC01068",1.57336549545643,3.21858230333369,1.64521680787726,0.000216170493294639,0.0157098329218783
"LOC101927870",0.604938545733236,1.84446306713473,1.2395245214015,0.000221352510880919,0.0159165825609273
"SNORA55",5.31359044501215,6.43137761859105,1.1177871735789,0.000224232969479355,0.0160376852717849
"LINC01176",5.19777599102154,5.82937513032095,0.63159913929941,0.000229604605311386,0.016160409246963
"OVOL3",4.47430212819932,5.81597218530674,1.34167005710741,0.000230022625551788,0.016160409246963
"VTRNA1-1",6.66825450392049,8.1496468577008,1.4813923537803,0.00022918150196499,0.016160409246963
"HILS1",3.9843496662744,4.96427017042758,0.979920504153174,0.000231697903120314,0.0162249106799415
"FKBP5",6.25975357522652,7.29538191139389,1.03562833616738,0.000236773746948454,0.0163756928730262
"MTRNR2L1",3.19373007278192,7.06897302126746,3.87524294848553,0.000236908007776654,0.0163756928730262
"SNHG3",5.57351386301178,6.13672724829575,0.563213385283968,0.000238310524018481,0.0163797772079145
"EPS8L3",2.13652370742232,3.38525605176424,1.24873234434192,0.00023849591603833,0.0163797772079145
"FZD9",5.19328988478109,5.86272812265347,0.669438237872376,0.000240139133622057,0.0163899967700181
"AGAP1",9.04498761536025,9.40285132128039,0.35786370592014,0.000245349314348245,0.0166899844693784
"GAS2L3",2.08163807834217,2.91054137027982,0.828903291937646,0.00024777482985062,0.016801642576073
"PKNOX1",5.75791936605515,6.12642230390002,0.368502937844871,0.000250152411444504,0.0169093560644569
"TWNK",4.78031630120287,5.26470729463737,0.484390993434507,0.000252070525249074,0.0169321856270758
"LHX4-AS1",4.85048239690589,5.58209708909017,0.731614692184274,0.00025150799888442,0.0169321856270758
"OIT3",1.44161649786055,2.14354111909507,0.701924621234524,0.000252933885806183,0.0169370853282965
"SSSCA1-AS1",4.70875898599879,5.26422924996275,0.555470263963953,0.000256385795248381,0.0170615988216842
"SH2D6",3.4687890975451,4.74401681709273,1.27522771954763,0.000258545999378544,0.0171520856801345
"C21orf62",3.48234320785004,4.50463129473461,1.02228808688457,0.00026052474777629,0.0172300132572542
"NRIP2",6.15920491209839,6.97957452350299,0.820369611404598,0.000264693840392499,0.0174356637951249
"CLN3",6.37663228963492,6.8876542031708,0.511021913535885,0.000268243551802528,0.017479162798759
"CTBP2",6.37008374460953,6.81633246082029,0.446248716210757,0.000270352103166959,0.0175548632323079
"CLEC18B",2.80772011363337,4.32684130012256,1.5191211864892,0.000271766555094142,0.0175933949926202
"C10orf76",6.81272313508185,7.10291529028105,0.290192155199204,0.000284912691379082,0.0183035609814579
"ZNF718",5.04160390300504,5.45567752046106,0.414073617456021,0.000287743367213576,0.0183035609814579
"LINC00310",2.99079407500264,3.85256790954926,0.861773834546619,0.000289293167780628,0.0183035609814579
"LINC00260",5.31543778663829,6.17413997033403,0.858702183695734,0.000291336513863347,0.0183610553501876
"ZNF81",5.30964984471412,5.64695717149354,0.337307326779417,0.000292311814858643,0.0183684972691818
"ZNF592",6.85403701247042,7.19764745963091,0.343610447160489,0.000301787478825349,0.0184354877487123
"CERS4",8.41032431321407,8.80820630864177,0.397881995427703,0.000300574226521925,0.0184354877487123
"SAMD4A",7.69421227917392,8.29962366593405,0.605411386760131,0.000299066973585322,0.0184354877487123
"DNASE1",5.40668720371973,6.06377193673948,0.657084733019746,0.00030047958586344,0.0184354877487123
"C20orf173",2.43560284956963,3.45043488634333,1.0148320367737,0.000299198376369362,0.0184354877487123
"FBXO18",7.36484010092194,7.59376719577928,0.228927094857344,0.000315020861736774,0.0188554944840659
"ALG12",6.65726911590981,7.11193698186072,0.454667865950911,0.00032685350207454,0.0191407675108726
"RBL1",4.30727867698672,4.94629926380053,0.639020586813808,0.000324809683741234,0.0191407675108726
"SMG1P7",5.03537233064245,5.7952258569482,0.759853526305749,0.000324363838076691,0.0191407675108726
"LRRC46",3.90124664394463,4.97466066049023,1.07341401654561,0.000330816822923505,0.019158764544878
"MC1R",5.58043976043697,5.66826248854114,0.0878227281041699,0.000346164179266329,0.0198643161526252
"CALCOCO1",8.97095357806617,9.27942965658313,0.308476078516962,0.000347634802932353,0.0198643161526252
"PINLYP",4.75475067244199,5.48724272365481,0.73249205121282,0.000356274358845232,0.0201431318241045
