"SYMBOL","nprobes","meanlogFC","minadjP","meanB"
"LOC729770",1,-0.0974732843539181,3.04345161280161e-05,6.39338437405803
"PHF21A",1,0.435980662541761,3.07521747739233e-05,6.3806997149623
"C14ORF2",1,-0.498169107684888,3.07796565672095e-05,6.37724013672327
"KCNIP2",1,-0.114645024723687,3.10791151304497e-05,6.3654271641295
"NFIB",1,0.290077183386263,3.12203711100963e-05,6.35851792438127
"CD68",1,0.631156958395282,3.16118954305302e-05,6.34407448697875
"PRPF4",1,-0.200519044994021,3.17182246364182e-05,6.33829898529429
"DDX51",1,0.445754691595662,3.17225452778022e-05,6.33516577147795
"NDE1",1,0.631099739598039,3.17225452778022e-05,6.33302769619468
"C9ORF114",1,0.565243998098182,3.18702774313245e-05,6.32604775089591
"YES1",1,0.551206046449662,3.24178117094555e-05,6.30729155145064
"PHF16",1,0.240779325634697,3.25249967670655e-05,6.30160520525563
"NRXN1",1,-0.529045582815411,3.30420850413362e-05,6.28406284762747
"LETMD1",1,-0.319703193714856,3.30605396578037e-05,6.28099879772059
"PPARA",1,0.128299060782525,3.3120282611644e-05,6.27423583757747
"SPAG9",1,0.363507720434388,3.3120282611644e-05,6.27648036493783
